Timestamp,Ponto_Amostragem,pH,Oxigenio_Dissolvido_mgL,Turbidez_NTU,Temperatura_C
2023-01-01 08:00,Ponto A,7.2,8.5,1.2,20.5
2023-01-01 08:00,Ponto B,7.4,7.8,1.5,21.0
2023-01-01 12:00,Ponto A,7.1,8.0,1.3,20.8
2023-01-01 12:00,Ponto B,7.3,7.5,1.6,21.2
2023-01-01 16:00,Ponto A,7.0,8.2,1.1,20.6
2023-01-01 16:00,Ponto B,7.2,7.6,1.4,21.1
2023-01-02 08:00,Ponto A,7.3,8.4,1.0,20.7
2023-01-02 08:00,Ponto B,7.5,7.9,1.2,21.3
2023-01-02 12:00,Ponto A,7.4,8.1,1.3,20.9
2023-01-02 12:00,Ponto B,7.6,7.7,1.5,21.4
2023-01-02 16:00,Ponto A,7.5,8.3,1.2,20.8
2023-01-02 16:00,Ponto B,7.7,7.8,1.4,21.5